case_id,status,collection_name,method,top_k,split,category,latency_ms,hit_rate_at_k,precision_at_k,recall_at_k,map,ndcg_at_k,mrr,retrieved_chunk_ids,relevant_chunk_ids,relevance_by_chunk,query,error
iir-2009-004,ok,iir_recursive_gold_50_03,dense,10,development,procedimental,216.479,1.0,0.1,1.0,1.0,1.0,1.0,"8652e6c1-0e48-4293-b8be-0e000059be4a,520deee0-c21b-4384-b2b1-571685bd97fd,3a410bd5-5afb-458f-a31c-5fcfe5ebf73d,b548079c-c730-4d3b-99ae-2112907364c1,f7bcaf12-dfd8-4662-b260-b59fee625b62,2abd8b85-fd8c-4275-8da5-4f4a45284ac5,e9263740-f9a2-4ae9-ab5b-ccdc756c62e6,d80a7198-7354-4e1f-a218-920807c3f0bd,2245177d-a4d0-4dbf-bbb0-78909f60c802,3364712d-972c-4ac3-bc6a-ac047a380fdf",8652e6c1-0e48-4293-b8be-0e000059be4a,"{""8652e6c1-0e48-4293-b8be-0e000059be4a"": 2.0}",Em que ordem as listas de postings devem ser intersectadas em uma consulta conjuntiva?,
iir-2009-004,ok,iir_recursive_gold_50_03,hybrid,10,development,procedimental,219.74,1.0,0.1,1.0,1.0,1.0,1.0,"8652e6c1-0e48-4293-b8be-0e000059be4a,3a410bd5-5afb-458f-a31c-5fcfe5ebf73d,520deee0-c21b-4384-b2b1-571685bd97fd,e9263740-f9a2-4ae9-ab5b-ccdc756c62e6,2abd8b85-fd8c-4275-8da5-4f4a45284ac5,b548079c-c730-4d3b-99ae-2112907364c1,088c5aaa-de2d-4b18-8163-c67a893b2883,f7bcaf12-dfd8-4662-b260-b59fee625b62,84d33394-ee04-43f2-b345-6d3c846f372d,3364712d-972c-4ac3-bc6a-ac047a380fdf",8652e6c1-0e48-4293-b8be-0e000059be4a,"{""8652e6c1-0e48-4293-b8be-0e000059be4a"": 2.0}",Em que ordem as listas de postings devem ser intersectadas em uma consulta conjuntiva?,
iir-2009-005,ok,iir_recursive_gold_50_03,bm25,10,development,aplicada,257.55,0.0,0.0,0.0,0.0,0.0,0.0,"5b107bf6-fec0-43a1-a3e5-e8658b115b46,c53b8993-eedb-4a0f-bb1e-e3127caf901f,d80a7198-7354-4e1f-a218-920807c3f0bd,9bd0bda3-e5e6-47d6-a0e7-b110855bdc0a,088c5aaa-de2d-4b18-8163-c67a893b2883,715d8313-372e-4453-82a0-bec717d77126,0c33dc95-5eb4-4523-a108-df20e4a5d7d0,f13e9bd3-c837-42bf-bcc8-9c0f6d2c5391,432b4ec3-4a0d-4ead-811b-6c885d984519,4a205e45-a476-4a3d-80a2-9820f57465cf",c436f90b-965d-4247-9db5-f32c3072b0d2,"{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0}",Por que indexar um livro inteiro como um único documento pode prejudicar a recuperação?,
iir-2009-005,ok,iir_recursive_gold_50_03,dense,10,development,aplicada,198.598,1.0,0.1,1.0,0.166667,0.356207,0.166667,"059bdacb-afbf-46a6-9a0e-65265c9a81a1,0c33dc95-5eb4-4523-a108-df20e4a5d7d0,e9588246-db32-4f75-a13d-ac6a089b0bf7,36486dcd-d491-477f-bc33-94f19caa2008,d330259f-c8b5-4515-96ad-3884b530c177,c436f90b-965d-4247-9db5-f32c3072b0d2,29d6e02f-16a5-4f3b-865b-5bc09c1fc979,6216f8d3-7757-44a6-bcb7-e4c21512129d,8f7c531b-e86c-407d-b848-8ddb649eb841,529980cc-c8ac-4a57-bd80-28000145d395",c436f90b-965d-4247-9db5-f32c3072b0d2,"{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0}",Por que indexar um livro inteiro como um único documento pode prejudicar a recuperação?,
iir-2009-005,ok,iir_recursive_gold_50_03,hybrid,10,development,aplicada,221.696,1.0,0.1,1.0,0.1,0.289065,0.1,"5b107bf6-fec0-43a1-a3e5-e8658b115b46,059bdacb-afbf-46a6-9a0e-65265c9a81a1,0c33dc95-5eb4-4523-a108-df20e4a5d7d0,c53b8993-eedb-4a0f-bb1e-e3127caf901f,d80a7198-7354-4e1f-a218-920807c3f0bd,e9588246-db32-4f75-a13d-ac6a089b0bf7,36486dcd-d491-477f-bc33-94f19caa2008,088c5aaa-de2d-4b18-8163-c67a893b2883,9bd0bda3-e5e6-47d6-a0e7-b110855bdc0a,c436f90b-965d-4247-9db5-f32c3072b0d2",c436f90b-965d-4247-9db5-f32c3072b0d2,"{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0}",Por que indexar um livro inteiro como um único documento pode prejudicar a recuperação?,
iir-2009-006,ok,iir_recursive_gold_50_03,bm25,10,development,definicional,199.087,1.0,0.2,1.0,0.666667,0.831555,1.0,"c436f90b-965d-4247-9db5-f32c3072b0d2,2dbffcb9-1e50-445f-82f1-691566739097,898830d4-5236-42b6-8730-53420febcb4a,715d8313-372e-4453-82a0-bec717d77126,60d0a2b0-1cb2-4e1d-95e5-5476a1d24c48,d97dd49a-de14-4954-ae6f-b4df4492d71c,b548079c-c730-4d3b-99ae-2112907364c1,0c33dc95-5eb4-4523-a108-df20e4a5d7d0,65326072-b72e-45b4-9ea4-d02ad7701de2,4aeefbe2-eaa0-442b-8a5d-d9e717604d1f","c436f90b-965d-4247-9db5-f32c3072b0d2,d97dd49a-de14-4954-ae6f-b4df4492d71c","{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0, ""d97dd49a-de14-4954-ae6f-b4df4492d71c"": 2.0}","Como se distinguem token, type e term no processamento de documentos?",
iir-2009-006,ok,iir_recursive_gold_50_03,dense,10,development,definicional,198.645,1.0,0.2,1.0,1.0,1.0,1.0,"d97dd49a-de14-4954-ae6f-b4df4492d71c,c436f90b-965d-4247-9db5-f32c3072b0d2,898830d4-5236-42b6-8730-53420febcb4a,e809521f-bd49-4613-8359-d993ed926bb3,d9d0f2a8-4f53-48af-8af9-a70ff975c594,33ee80e5-1f4d-461c-a820-e217b073ef05,df67f635-c66e-493f-b90e-f750e1366e43,9e720a91-cfe4-4066-9dd7-f49080117a1b,e7c07222-9661-48df-954f-feabf6a59f35,c0b3153e-87f3-412b-a9d6-581a71daa243","c436f90b-965d-4247-9db5-f32c3072b0d2,d97dd49a-de14-4954-ae6f-b4df4492d71c","{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0, ""d97dd49a-de14-4954-ae6f-b4df4492d71c"": 2.0}","Como se distinguem token, type e term no processamento de documentos?",
iir-2009-006,ok,iir_recursive_gold_50_03,hybrid,10,development,definicional,200.807,1.0,0.2,1.0,1.0,1.0,1.0,"c436f90b-965d-4247-9db5-f32c3072b0d2,d97dd49a-de14-4954-ae6f-b4df4492d71c,898830d4-5236-42b6-8730-53420febcb4a,2dbffcb9-1e50-445f-82f1-691566739097,60d0a2b0-1cb2-4e1d-95e5-5476a1d24c48,e809521f-bd49-4613-8359-d993ed926bb3,715d8313-372e-4453-82a0-bec717d77126,d9d0f2a8-4f53-48af-8af9-a70ff975c594,33ee80e5-1f4d-461c-a820-e217b073ef05,9e720a91-cfe4-4066-9dd7-f49080117a1b","c436f90b-965d-4247-9db5-f32c3072b0d2,d97dd49a-de14-4954-ae6f-b4df4492d71c","{""c436f90b-965d-4247-9db5-f32c3072b0d2"": 2.0, ""d97dd49a-de14-4954-ae6f-b4df4492d71c"": 2.0}","Como se distinguem token, type e term no processamento de documentos?",
iir-2009-007,ok,iir_recursive_gold_50_03,bm25,10,development,conceitual,203.246,1.0,0.1,1.0,1.0,1.0,1.0,"7631900d-010d-479c-ac8a-08d8d394fda2,e20ab581-627d-455e-9a92-30e275aeda54,898830d4-5236-42b6-8730-53420febcb4a,bbdb006a-c877-4b42-aa60-fd1cba0978cb,c436f90b-965d-4247-9db5-f32c3072b0d2,db1ed2e9-90b4-452b-a22b-bbc1d90ec0db,63039372-ec8b-4891-be29-728ab808e3c2,2245177d-a4d0-4dbf-bbb0-78909f60c802,4b110a71-9335-43f8-9d32-5e5b37271166,0a2d6dd3-ba48-4682-8465-be6f585edf12",7631900d-010d-479c-ac8a-08d8d394fda2,"{""7631900d-010d-479c-ac8a-08d8d394fda2"": 2.0}",Por que sistemas modernos tendem a usar listas de stop words pequenas ou nenhuma lista?,
iir-2009-007,ok,iir_recursive_gold_50_03,dense,10,development,conceitual,211.703,1.0,0.1,1.0,1.0,1.0,1.0,"7631900d-010d-479c-ac8a-08d8d394fda2,db1ed2e9-90b4-452b-a22b-bbc1d90ec0db,898830d4-5236-42b6-8730-53420febcb4a,75892881-d9bd-4133-86c9-44b130ce7fc9,e9263740-f9a2-4ae9-ab5b-ccdc756c62e6,2abd8b85-fd8c-4275-8da5-4f4a45284ac5,60d0a2b0-1cb2-4e1d-95e5-5476a1d24c48,bd789111-a698-47cd-91bc-4054d1f2e391,0a2d6dd3-ba48-4682-8465-be6f585edf12,768bfc11-e278-4d01-bac1-478bd0885a48",7631900d-010d-479c-ac8a-08d8d394fda2,"{""7631900d-010d-479c-ac8a-08d8d394fda2"": 2.0}",Por que sistemas modernos tendem a usar listas de stop words pequenas ou nenhuma lista?,
iir-2009-007,ok,iir_recursive_gold_50_03,hybrid,10,development,conceitual,283.974,1.0,0.1,1.0,1.0,1.0,1.0,"7631900d-010d-479c-ac8a-08d8d394fda2,898830d4-5236-42b6-8730-53420febcb4a,db1ed2e9-90b4-452b-a22b-bbc1d90ec0db,e20ab581-627d-455e-9a92-30e275aeda54,75892881-d9bd-4133-86c9-44b130ce7fc9,bbdb006a-c877-4b42-aa60-fd1cba0978cb,0a2d6dd3-ba48-4682-8465-be6f585edf12,2abd8b85-fd8c-4275-8da5-4f4a45284ac5,e9263740-f9a2-4ae9-ab5b-ccdc756c62e6,c436f90b-965d-4247-9db5-f32c3072b0d2",7631900d-010d-479c-ac8a-08d8d394fda2,"{""7631900d-010d-479c-ac8a-08d8d394fda2"": 2.0}",Por que sistemas modernos tendem a usar listas de stop words pequenas ou nenhuma lista?,
iir-2009-008,ok,iir_recursive_gold_50_03,bm25,10,development,comparativa,213.652,1.0,0.2,1.0,0.833333,0.919721,1.0,"fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,f69d18e3-9d05-45ac-90d2-8e64bdc9c608,b1e59cfa-3edf-4581-997f-5db9e4c8c62b,72cc58ae-6768-44f5-b342-d7804074f17d,aa4e352c-0633-4b1f-9e19-17bff3428492,7f18a459-3f18-4e1d-a7cc-7a09a14715ba,db1ed2e9-90b4-452b-a22b-bbc1d90ec0db,62d1e8af-7de1-456d-b30c-22eaba954884,c0e93d48-bbd6-4a86-b225-afda0b1cd44d,2787c3dd-5429-437c-8bc5-bf1824f8642e","fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,b1e59cfa-3edf-4581-997f-5db9e4c8c62b","{""fa3eb0f9-86dd-4672-b3da-ad86c49b15b8"": 2.0, ""b1e59cfa-3edf-4581-997f-5db9e4c8c62b"": 2.0}",Qual é a diferença entre stemming e lematização e qual efeito o stemming pode ter nas métricas?,
iir-2009-008,ok,iir_recursive_gold_50_03,dense,10,development,comparativa,268.443,1.0,0.2,1.0,1.0,1.0,1.0,"fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,b1e59cfa-3edf-4581-997f-5db9e4c8c62b,aa4e352c-0633-4b1f-9e19-17bff3428492,7f18a459-3f18-4e1d-a7cc-7a09a14715ba,62d1e8af-7de1-456d-b30c-22eaba954884,d9d0f2a8-4f53-48af-8af9-a70ff975c594,9fc1464b-7760-4bfe-9c62-e498064ebba3,9b98adc0-3c88-4be3-9c27-c19df898922c,c80be2e3-457a-49f5-aab3-aac5e5ffc956,432b4ec3-4a0d-4ead-811b-6c885d984519","fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,b1e59cfa-3edf-4581-997f-5db9e4c8c62b","{""fa3eb0f9-86dd-4672-b3da-ad86c49b15b8"": 2.0, ""b1e59cfa-3edf-4581-997f-5db9e4c8c62b"": 2.0}",Qual é a diferença entre stemming e lematização e qual efeito o stemming pode ter nas métricas?,
iir-2009-008,ok,iir_recursive_gold_50_03,hybrid,10,development,comparativa,278.477,1.0,0.2,1.0,1.0,1.0,1.0,"fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,b1e59cfa-3edf-4581-997f-5db9e4c8c62b,aa4e352c-0633-4b1f-9e19-17bff3428492,f69d18e3-9d05-45ac-90d2-8e64bdc9c608,7f18a459-3f18-4e1d-a7cc-7a09a14715ba,62d1e8af-7de1-456d-b30c-22eaba954884,db1ed2e9-90b4-452b-a22b-bbc1d90ec0db,72cc58ae-6768-44f5-b342-d7804074f17d,d9d0f2a8-4f53-48af-8af9-a70ff975c594,9fc1464b-7760-4bfe-9c62-e498064ebba3","fa3eb0f9-86dd-4672-b3da-ad86c49b15b8,b1e59cfa-3edf-4581-997f-5db9e4c8c62b","{""fa3eb0f9-86dd-4672-b3da-ad86c49b15b8"": 2.0, ""b1e59cfa-3edf-4581-997f-5db9e4c8c62b"": 2.0}",Qual é a diferença entre stemming e lematização e qual efeito o stemming pode ter nas métricas?,
iir-2009-009,ok,iir_recursive_gold_50_03,bm25,10,development,comparativa,238.995,1.0,0.2,1.0,0.392857,0.591235,0.5,"e474c1d7-5a2e-4f95-8710-e6bcba63ea65,0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,27a4fad2-384e-4a7c-9dea-77dd341590a4,9ab4a2a3-7e6f-4497-9687-eada54e581e6,7113ee47-0c6f-4075-8a4f-d2a2bebd5641,7bf66a9a-fc14-4325-ab27-85f04e44eec1,75e876ea-99fd-4de1-8dad-4c3ffe1cd374,e7404126-e54f-49cd-9ebe-3c705b7f5562,7e8658d3-f85e-4d73-9c0a-7420f20fca84,11c26a63-87a9-4ce7-848b-2d9b96b1b838","0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,75e876ea-99fd-4de1-8dad-4c3ffe1cd374","{""0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced"": 2.0, ""75e876ea-99fd-4de1-8dad-4c3ffe1cd374"": 2.0}",Quando árvores de busca são mais adequadas que hashing para consultar o dicionário?,
iir-2009-009,ok,iir_recursive_gold_50_03,dense,10,development,comparativa,222.727,1.0,0.2,1.0,0.833333,0.919721,1.0,"75e876ea-99fd-4de1-8dad-4c3ffe1cd374,e6943e98-9d57-444f-86e5-6993d409ea5d,0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,5e6f5f70-5b71-4c93-a29a-3caafa58c067,825fa07e-d956-4c1f-9d0c-a2c11dc794ef,8cb02cd2-e1ae-4c03-baf0-546fba24209a,e2ccb51b-642b-4f47-a118-407afe98680a,ae0ec5d5-1567-41dd-a2a0-e20685b2384d,3d565130-4b21-44af-9071-395ef84d99d6,bd1d7538-301d-406b-8661-8957c3d4c8d4","0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,75e876ea-99fd-4de1-8dad-4c3ffe1cd374","{""0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced"": 2.0, ""75e876ea-99fd-4de1-8dad-4c3ffe1cd374"": 2.0}",Quando árvores de busca são mais adequadas que hashing para consultar o dicionário?,
iir-2009-009,ok,iir_recursive_gold_50_03,hybrid,10,development,comparativa,213.133,1.0,0.2,1.0,1.0,1.0,1.0,"75e876ea-99fd-4de1-8dad-4c3ffe1cd374,0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,e474c1d7-5a2e-4f95-8710-e6bcba63ea65,e6943e98-9d57-444f-86e5-6993d409ea5d,27a4fad2-384e-4a7c-9dea-77dd341590a4,9ab4a2a3-7e6f-4497-9687-eada54e581e6,5e6f5f70-5b71-4c93-a29a-3caafa58c067,7bf66a9a-fc14-4325-ab27-85f04e44eec1,825fa07e-d956-4c1f-9d0c-a2c11dc794ef,7113ee47-0c6f-4075-8a4f-d2a2bebd5641","0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,75e876ea-99fd-4de1-8dad-4c3ffe1cd374","{""0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced"": 2.0, ""75e876ea-99fd-4de1-8dad-4c3ffe1cd374"": 2.0}",Quando árvores de busca são mais adequadas que hashing para consultar o dicionário?,
iir-2009-010,ok,iir_recursive_gold_50_03,bm25,10,development,procedimental,230.158,1.0,0.1,1.0,1.0,1.0,1.0,"0cfee541-6c97-42ff-baf1-012dbc3af153,c0e93d48-bbd6-4a86-b225-afda0b1cd44d,b5f55848-5b85-42b1-ad47-5c4f9c20f9f9,e474c1d7-5a2e-4f95-8710-e6bcba63ea65,bc2896e7-7bed-4ac8-8772-d146e81fcb4e,90ec5254-d5d0-46b0-aecd-7c316788cef2,c500d473-a6c5-47b5-a76a-e0ad2f8025fb,094f7103-6fc4-4418-a016-0e0a88db5805,27a4fad2-384e-4a7c-9dea-77dd341590a4,9b98adc0-3c88-4be3-9c27-c19df898922c",0cfee541-6c97-42ff-baf1-012dbc3af153,"{""0cfee541-6c97-42ff-baf1-012dbc3af153"": 2.0}",Como um índice permuterm processa a consulta curinga m*n?,
iir-2009-010,ok,iir_recursive_gold_50_03,dense,10,development,procedimental,206.912,1.0,0.1,1.0,1.0,1.0,1.0,"0cfee541-6c97-42ff-baf1-012dbc3af153,46497fa5-41d2-4c25-aa5d-8aab1e36dfcf,bc2896e7-7bed-4ac8-8772-d146e81fcb4e,520deee0-c21b-4384-b2b1-571685bd97fd,c0e93d48-bbd6-4a86-b225-afda0b1cd44d,0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,f7bcaf12-dfd8-4662-b260-b59fee625b62,03f6ee4a-50b6-47ba-9430-4e571185866d,ca139f0b-d773-490e-9fc3-76a36616bb4b,d434822b-a19b-478a-9049-6c632c77a9a6",0cfee541-6c97-42ff-baf1-012dbc3af153,"{""0cfee541-6c97-42ff-baf1-012dbc3af153"": 2.0}",Como um índice permuterm processa a consulta curinga m*n?,
iir-2009-010,ok,iir_recursive_gold_50_03,hybrid,10,development,procedimental,205.625,1.0,0.1,1.0,1.0,1.0,1.0,"0cfee541-6c97-42ff-baf1-012dbc3af153,c0e93d48-bbd6-4a86-b225-afda0b1cd44d,bc2896e7-7bed-4ac8-8772-d146e81fcb4e,46497fa5-41d2-4c25-aa5d-8aab1e36dfcf,b5f55848-5b85-42b1-ad47-5c4f9c20f9f9,520deee0-c21b-4384-b2b1-571685bd97fd,e474c1d7-5a2e-4f95-8710-e6bcba63ea65,0c8fc2db-6b4d-4c10-ae9d-f0f81b9e7ced,90ec5254-d5d0-46b0-aecd-7c316788cef2,f7bcaf12-dfd8-4662-b260-b59fee625b62",0cfee541-6c97-42ff-baf1-012dbc3af153,"{""0cfee541-6c97-42ff-baf1-012dbc3af153"": 2.0}",Como um índice permuterm processa a consulta curinga m*n?,
